,id,name,price,year,quality,type,volume_l,fuel_type,Kpp,text,date,city,link
55,120039747,Kia Soul,5600000,2014,Б/у,хэтчбек,1.6, бензин, КПП механика,"2014 г., Б/у хэтчбек, 1.6 л, бензин, КПП механика, с пробегом 100 600 км, голубой, металлик, литые диски, тонировка, п...",19 сентября,Усть-Каменогорск,https://kolesa.kz//a/show/120039747
56,125679680,Ford Transit,5500000,2008,Б/у,фургон,3.2, дизель, КПП механика,"2008 г., Б/у фургон, 3.2 л, дизель, КПП механика, белый, металлик, тонировка, люк, фаркоп, обогрев зеркал, велюр, ауди...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125679680
57,125436034,Infiniti FX45,5500000,2003,Б/у,кроссовер,4.5, бензин, КПП автомат,"2003 г., Б/у кроссовер, 4.5 л, бензин, КПП автомат, черный, металлик, литые диски, тонировка, люк, спойлер, ветровики,...",19 сентября,Алматы,https://kolesa.kz//a/show/125436034
58,125277801,Daewoo Gentra,4100000,2014,Б/у,седан,1.5, бензин, КПП механика,"2014 г., Б/у седан, 1.5 л, бензин, КПП механика, с пробегом 266 км, белый, литые диски, тонировка, ксенон, хрустальная...",19 сентября,Шымкент,https://kolesa.kz//a/show/125277801
59,125618943,Mazda Cronos,1450000,1994,Б/у,седан,2, бензин, КПП механика,"1994 г., Б/у седан, 2 л, бензин, КПП механика, красный, литые диски, тонировка, фаркоп, дневные ходовые огни, противот...",19 сентября,Талдыкорган,https://kolesa.kz//a/show/125618943
60,125635480,Toyota Camry,2800000,1997,Б/у,седан,2.2, бензин, КПП механика,"1997 г., Б/у седан, 2.2 л, бензин, КПП механика, с пробегом 305 000 км, белый, литые диски, тонировка, ветровики, бага...",19 сентября,Кокшетау,https://kolesa.kz//a/show/125635480
61,125591453,Porsche Panamera 4S,73236000,2021,новый,лифтбек,2.9, бензин, КПП робот,"2021 г., новый лифтбек, 2.9 л, бензин, КПП робот, белый",19 сентября,Алматы,https://kolesa.kz//a/show/125591453
62,125591859,Porsche Macan S,43350000,2021,новый,кроссовер,2.9, бензин, КПП робот,"2021 г., новый кроссовер, 2.9 л, бензин, КПП робот, черный",19 сентября,Алматы,https://kolesa.kz//a/show/125591859
63,125591755,Porsche Taycan 4S,66045000,2021,новый,седан,электричество, КПП автомат, зеленый,"2021 г., новый седан, электричество, КПП автомат, зеленый, металлик",19 сентября,Алматы,https://kolesa.kz//a/show/125591755
64,124364533,Nissan X-Trail,6500000,2011,Б/у,кроссовер,2, бензин, КПП вариатор,"2011 г., Б/у кроссовер, 2 л, бензин, КПП вариатор, с пробегом 120 000 км, серый, металлик, литые диски, тонировка, рей...",19 сентября,Талдыкорган,https://kolesa.kz//a/show/124364533
65,123630922,Ford Explorer,4900000,2002,Б/у,внедорожник,4, бензин, КПП автомат,"2002 г., Б/у внедорожник, 4 л, бензин, КПП автомат, с пробегом 248 926 км, черный",19 сентября,Павлодар,https://kolesa.kz//a/show/123630922
66,125589912,Toyota Camry,5900000,2007,Б/у,седан,2.4, газ-бензин, КПП автомат,"2007 г., Б/у седан, 2.4 л, газ-бензин, КПП автомат, с пробегом 225 000 км, белый, тонировка, люк, ксенон, велюр, CD, U...",19 сентября,Алматы,https://kolesa.kz//a/show/125589912
67,125118823,Toyota Land Cruiser,13000000,2006,Б/у,внедорожник,4, бензин, КПП автомат,"2006 г., Б/у внедорожник, 4 л, бензин, КПП автомат, свежепригнан, Супер свежий тачка 1 хозаин рк 100 працент тема!",19 сентября,Каскелен,https://kolesa.kz//a/show/125118823
68,124285780,Mitsubishi Colt,2600000,2004,Б/у,хэтчбек,1.5, дизель, КПП робот,"2004 г., Б/у хэтчбек, 1.5 л, дизель, КПП робот, с пробегом 285 000 км, голубой, металлик, хрустальная оптика, велюр, а...",19 сентября,Алматы,https://kolesa.kz//a/show/124285780
69,125526692,Mazda MPV,2800000,2001,Б/у,минивэн,2.5, бензин, КПП автомат,"2001 г., Б/у минивэн, 2.5 л, бензин, КПП автомат, с пробегом 271 000 км, металлик, рейлинги, ксенон, велюр, ГУР, ABS,...",19 сентября,Алматы,https://kolesa.kz//a/show/125526692
70,125527510,Kia Sportage,7500000,2015,Б/у,кроссовер,2, бензин, КПП механика,"2015 г., Б/у кроссовер, 2 л, бензин, КПП механика, с пробегом 168 000 км, белый, литые диски, тонировка, ветровики, ли...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125527510
71,125527264,Volkswagen Touran,5000000,2009,Б/у,минивэн,1.4, бензин, КПП робот,"2009 г., Б/у минивэн, 1.4 л, бензин, КПП робот, с пробегом 236 096 км, черный, металлик, литые диски, тонировка, ветро...",19 сентября,Алматы,https://kolesa.kz//a/show/125527264
72,125527461,ВАЗ (Lada) 2114 (хэтчбек),1000000,2010,Б/у,хэтчбек,1.6, бензин, КПП механика,"2010 г., Б/у хэтчбек, 1.6 л, бензин, КПП механика, белый, литые диски, тонировка, bluetooth, USB, DVD, Продаю четырнад...",19 сентября,Караганда,https://kolesa.kz//a/show/125527461
73,125527419,ВАЗ (Lada) 2104,600000,2005,Б/у,универсал,1.5, бензин, КПП механика,"2005 г., Б/у универсал, 1.5 л, бензин, КПП механика, с пробегом 20 000 км, белый, багажник, велюр, аудиосистема, Жағда...",19 сентября,Арысь,https://kolesa.kz//a/show/125527419
